__run_id,__done,DFO,Library,DataFrame size,execution_time,num_dfos_per_joule,cpu_utilisation,memory_usage
run_46_repetition_18,DONE,drop,Polars,Large,0.642,2.79,75.5,6433415168.0
run_11_repetition_17,DONE,replace,Dask,Small,1.25,1.085,73.6,5996148053.333
run_31_repetition_1,DONE,sort,Polars,Small,0.329,4.675,78.9,6088196096.0
run_14_repetition_8,DONE,replace,Polars,Large,7.76,0.155,65.5,6362347747.556
run_25_repetition_6,DONE,sort,Modin,Small,7.078,0.201,59.1,4946298142.72
run_44_repetition_2,DONE,drop,Pandas,Large,36.354,0.057,76.5,9105991680.0
run_60_repetition_18,DONE,fillna,Pandas,Large,454.384,0.004,72.9,10072749633.819
run_70_repetition_5,DONE,concat,Polars,Large,0.627,2.679,66.0,4352770048.0
run_21_repetition_8,DONE,groupby,Pandas,Small,0.947,2.066,73.3,4398088192.0
run_21_repetition_0,DONE,groupby,Pandas,Small,0.638,2.336,78.5,4586045440.0
run_9_repetition_2,DONE,replace,Modin,Small,6.148,0.261,77.5,5206245376.0
run_32_repetition_9,DONE,mean,Modin,Large,15.331,0.08,68.2,8578492888.615
run_21_repetition_2,DONE,groupby,Pandas,Small,0.944,1.903,80.0,5053113958.4
run_0_repetition_19,DONE,isna,Modin,Large,23.639,0.064,60.7,9563981849.924
run_58_repetition_1,DONE,fillna,Dask,Large,1.554,0.896,60.3,5668042459.429
run_20_repetition_17,DONE,groupby,Pandas,Large,2.474,0.513,68.6,7537298636.8
run_46_repetition_3,DONE,drop,Polars,Large,0.627,12.234,66.5,3791519744.0
run_68_repetition_13,DONE,concat,Pandas,Large,32.379,0.06,69.6,8845353342.804
run_9_repetition_5,DONE,replace,Modin,Small,6.469,0.269,71.7,5338641630.609
run_8_repetition_7,DONE,replace,Modin,Large,42.374,0.038,76.8,9813225472.0
run_1_repetition_0,DONE,isna,Modin,Small,6.777,0.197,71.2,5593506474.667
run_51_repetition_5,DONE,dropna,Dask,Small,1.249,5.986,74.8,5497653930.667
run_37_repetition_7,DONE,mean,Pandas,Small,0.935,8.239,77.8,5711613132.8
run_63_repetition_8,DONE,fillna,Polars,Small,0.328,23.143,75.2,5766545408.0
