__run_id,__done,DFO,Library,DataFrame size,execution_time,num_dfos_per_joule,cpu_utilisation,memory_usage
run_71_repetition_2,TODO,concat,Polars,Small, , , , 
run_26_repetition_2,TODO,sort,Dask,Large, , , , 
run_51_repetition_5,TODO,dropna,Dask,Small, , , , 
run_65_repetition_8,TODO,concat,Modin,Small, , , , 
run_51_repetition_7,TODO,dropna,Dask,Small, , , , 
run_69_repetition_5,TODO,concat,Pandas,Small, , , , 
run_65_repetition_15,TODO,concat,Modin,Small, , , , 
run_49_repetition_1,TODO,dropna,Modin,Small, , , , 
run_31_repetition_6,TODO,sort,Polars,Small, , , , 
run_37_repetition_13,TODO,mean,Pandas,Small, , , , 
run_46_repetition_10,TODO,drop,Polars,Large, , , , 
run_15_repetition_2,TODO,replace,Polars,Small, , , , 
run_26_repetition_16,TODO,sort,Dask,Large, , , , 
